 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4.11.2021    Time:  22: 5:27
 Units: L = m    , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
      372  0.3150000E+03  0.10000E+01    4     1088     0    -5     T
      373  0.3155000E+03  0.50000E+00    4     1092     0    -5     T
      374  0.3160000E+03  0.50000E+00    2     1094     0    -5     T
      375  0.3165000E+03  0.50000E+00    2     1096     0    -5     T
      376  0.3170000E+03  0.50000E+00    2     1098     0    -5     T
      377  0.3180000E+03  0.10000E+01    2     1100     0    -5     T
      378  0.3190000E+03  0.10000E+01    4     1104     0    -5     T
      379  0.3200000E+03  0.10000E+01    2     1106     0    -5     T
      380  0.3210000E+03  0.10000E+01    2     1108     0    -5     T
      381  0.3220000E+03  0.10000E+01    2     1110     0    -5     T
      382  0.3230000E+03  0.10000E+01    2     1112     0    -5     T
      383  0.3240000E+03  0.10000E+01    2     1114     0    -5     T
      384  0.3250000E+03  0.10000E+01    4     1118     0    -5     T
      385  0.3260000E+03  0.10000E+01    4     1122     0    -5     T
      386  0.3270000E+03  0.10000E+01    2     1124     0    -5     T
      387  0.3280000E+03  0.10000E+01    4     1128     0    -5     T
      388  0.3290000E+03  0.10000E+01    2     1130     0    -5     T
      389  0.3300000E+03  0.10000E+01    2     1132     0    -5     T
      390  0.3310000E+03  0.10000E+01    2     1134     0    -5     T
      391  0.3320000E+03  0.10000E+01    2     1136     0    -5     T
      392  0.3330000E+03  0.10000E+01    2     1138     0    -5     T
      393  0.3340000E+03  0.10000E+01    2     1140     0    -5     T
      394  0.3350000E+03  0.10000E+01    2     1142     0    -5     T
      395  0.3360000E+03  0.10000E+01    2     1144     0    -5     T
      396  0.3370000E+03  0.10000E+01    2     1146     0    -5     T
      397  0.3380000E+03  0.10000E+01    2     1148     0    -5     T
      398  0.3390000E+03  0.10000E+01    4     1152     0    -5     T
      399  0.3400000E+03  0.10000E+01    4     1156     0    -5     T
      400  0.3410000E+03  0.10000E+01    4     1160     0    -5     T
      401  0.3420000E+03  0.10000E+01    2     1162     0    -5     T
      402  0.3430000E+03  0.10000E+01    2     1164     0    -5     T
      403  0.3440000E+03  0.10000E+01    2     1166     0    -5     T
      404  0.3450000E+03  0.10000E+01    2     1168     0    -5     T
      405  0.3460000E+03  0.10000E+01    2     1170     0    -5     T
      406  0.3470000E+03  0.10000E+01    2     1172     0    -5     T
      407  0.3480000E+03  0.10000E+01    2     1174     0    -5     T
      408  0.3490000E+03  0.10000E+01    2     1176     0    -5     T
      409  0.3500000E+03  0.10000E+01    2     1178     0    -5     T
      410  0.3510000E+03  0.10000E+01    2     1180     0    -5     T
      411  0.3520000E+03  0.10000E+01    2     1182     0    -5     T
      412  0.3530000E+03  0.10000E+01    2     1184     0    -5     T
      413  0.3540000E+03  0.10000E+01    2     1186     0    -5     T
      414  0.3550000E+03  0.10000E+01    4     1190     0    -5     T
      415  0.3560000E+03  0.10000E+01    4     1194     0    -5     T
      416  0.3570000E+03  0.10000E+01    2     1196     0    -5     T
      417  0.3580000E+03  0.10000E+01    4     1200     0    -5     T
